Title,Instructor,Status,Progress,Priority,Tags,
Git Beginner in VS Code,Alan Simpson,Not Started,,Low,"{'Code', 'Beginner'}",
JavaScript Project - Image Slider,Stan Georgian,Not Started,,Low,"{'Project', 'Image', 'JavaScript'}",
Tweetme | Build a Twitter-like app step by step with Django,Justin Mitchel,Not Started,,Low,"{'Twitter', 'Like', 'Django', 'Step', 'Build'}",
Blogging Blueprint 2.0: Become a Blogging Expert in 7 Days,Kulwant Nagi,Not Started,,Low,"{'Expert', 'Days', 'Blogging', 'Become', 'Blueprint'}",
The Complete Unity Indie Game Developer Course,"Dragan Neskovic, Jasmin Skamo",Not Started,,Low,"{'Game', 'Complete', 'Course', 'Indie', 'Unity', 'Developer'}",
jQuery for Absolute Beginners : From Beginning to Advanced,Creative Online School,Not Started,,Low,"{'Advanced', 'Beginning', 'Absolute', 'Beginners', 'Jquery'}",
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",Jonas Schmedtmann,Not Started,,Low,"{'Advanced', 'Flexbox', 'Sass', 'Animations', 'Grid'}",
Master Bulma CSS framework and code 4 projects with 14 pages,Jeppe Schaumburg Jensen,Not Started,,Low,"{'Code', 'Pages', 'Bulma', 'Projects', 'Master', 'Framework'}",
Master Bootstrap 4 (4.6.0) and code 7 projects with 25 pages,Jeppe Schaumburg Jensen,Not Started,,Low,"{'Code', 'Bootstrap', 'Pages', 'Projects', 'Master'}",
C# from the beginning,Igor Evdokimov,Not Started,,Low,{'Beginning'},
Magic of HTML & CSS in UI Design,Spread Technologies,Not Started,,Low,"{'Design', 'Html', 'Magic'}",
Intro to Flask,Anthony Herbert,Not Started,,Low,"{'Intro', 'Flask'}",
How to make GIMP 2.8 look and act as Photoshop,Bernard 't Hooft,Not Started,,Low,"{'Make', 'Photoshop', 'Look', 'Gimp'}",
Teach Me How to Canva - Graphic Design for Beginners,Dallas Gordon,Not Started,,Low,"{'Beginners', 'Graphic', 'Teach', 'Design', 'Canva'}",
Projects in jQuery Mobile: Learn by building Real World Apps,Eduonix Learning Solutions,Not Started,,Low,"{'Real', 'Projects', 'World', 'Mobile', 'Learn', 'Building', 'Jquery', 'Apps'}",
Easy Markdown with VS Code,Alan Simpson,Not Started,,Low,"{'Easy', 'Code', 'Markdown'}",
How To Create an Amazing blog!,Jarrod Field,Not Started,,Low,"{'Create', 'Blog', 'Amazing'}",
Set Up WordPress Locally and on a Web Host in 30 Minutes,D L,Not Started,,Low,"{'Wordpress', 'Host', 'Minutes', 'Locally'}",
PHP and MySQL: Get up to speed with PHP the Easy Way,TELCOMA Global,Not Started,,Low,"{'Easy', 'Mysql', 'Speed'}",
TypeScript Fast Crash Course,"Edwin Diaz | 900,000+ Students, Coding Faculty Solutions",Not Started,,Low,"{'Crash', 'Course', 'Fast', 'Typescript'}",
Secure Shell (SSH) Complete Training Course - Master SSH,"Moe T, The Linux Lighthouse, Mo Khalil",Not Started,,Low,"{'Complete', 'Master', 'Training', 'Course', 'Secure', 'Shell'}",
Angular Fast Crash Course,"Edwin Diaz | 900,000+ Students, Coding Faculty Solutions",Not Started,,Low,"{'Crash', 'Fast', 'Course', 'Angular'}",
VR in Unity: A Beginner's Guide,Mark Suter,Not Started,,Low,"{'Beginner', 'Guide', 'Unity'}",
R programming: Practical and Concise,Junaid Athar,Not Started,,Low,"{'Concise', 'Programming', 'Practical'}",
Getting Started with Angular 2+,"Ryan Chenkie, Angularcasts: End-to-end Angular Screencasts",Not Started,,Low,"{'Getting', 'Started', 'Angular'}",
How to Start a Blog - 7 Day WordPress Blog Challenge,Zac Johnson,Not Started,,Low,"{'Wordpress', 'Start', 'Challenge', 'Blog'}",
Polymer 3 - Code Like A Google Developer,Joe Santos Garcia,Not Started,,Low,"{'Code', 'Polymer', 'Like', 'Developer', 'Google'}",
PHP for All: A Step-by-Step Guide to Programming PHP,"AkaSkills! 35,000+ Students",Not Started,,Low,"{'Programming', 'Guide', 'Step'}",
HTML Basics,Michael Phillimore,Not Started,,Low,"{'Html', 'Basics'}",
VanillaCartJS - ES6 JavaScript Shopping Cart,Adrian Bienias,Not Started,,Low,"{'JavaScript', 'Shopping'}",
Build a Cryptocurrency News Site With Ruby on Rails,John Elder,Not Started,,Low,"{'Cryptocurrency', 'News', 'Site', 'Ruby', 'Build'}",
Java for Absolute Beginners,Ashok Tulachan,Not Started,,Low,"{'Beginners', 'Java', 'Absolute'}",
Dart - Beginners Course,Bryan Cairns,Not Started,,Low,"{'Dart', 'Course', 'Beginners'}",
Dart - Intermediate Course,Bryan Cairns,Not Started,,Low,"{'Dart', 'Course', 'Intermediate'}",
Dart - Advanced Course,Bryan Cairns,Not Started,,Low,"{'Advanced', 'Dart', 'Course'}",
Learn to program Tic Tac Toe Game in Visual C++ on Windows,Mohammad El-Haj,Not Started,,Low,"{'Game', 'Program', 'Learn', 'Visual', 'Windows'}",
7 tips to design a better logo,Chraibi Adam,Not Started,,Low,"{'Design', 'Better', 'Logo', 'Tips'}",
2019 JavaScript Algorithmic Scripting: Basic Level,International AI Career Academy,Not Started,,Low,"{'JavaScript', 'Basic', 'Level', '2019', 'Scripting'}",
2019 JavaScript Algorithmic Scripting: Intermediate Level,International AI Career Academy,Not Started,,Low,"{'JavaScript', 'Level', '2019', 'Intermediate', 'Scripting'}",
2019 JavaScript Algorithmic Scripting: Advanced Level,International AI Career Academy,Not Started,,Low,"{'Advanced', 'JavaScript', 'Level', '2019', 'Scripting'}",
"Python Programming Full Course (Basics,OOP,Modules,PyQt)",Mahmoud Ahmed,Not Started,,High,"{'Basics', 'Full', 'Python', 'Course', 'Programming'}",
Laravel CRUD v2: To-Do List App With Small Social Network,Robert Apollo,Not Started,,Low,"{'Small', 'Laravel', 'List', 'Crud', 'Network', 'Social'}",
JavaScript Fundamentals ES6 for beginners,Laurence Svekis,Not Started,,Low,"{'Fundamentals', 'Beginners', 'JavaScript'}",
Build your first real-time web application with MeteorJS,Tomáš Hromník,Not Started,,Low,"{'First', 'Real', 'Time', 'Application', 'Meteorjs', 'Build'}",
[2025] The Complete Agile Scrum Fundamentals Masterclass,Luke Angel,Not Started,,Low,"{'Fundamentals', '2025', 'Complete', 'Masterclass', 'Agile', 'Scrum'}",
Master Angular 2 - The No Nonsense Course,Grant Klimaytys,Not Started,,Low,"{'Nonsense', 'Master', 'Course', 'Angular'}",
Learn Modern Responsive Web Design with Example Step by Step,Abhilash PIllai,Not Started,,Low,"{'Responsive', 'Example', 'Modern', 'Step', 'Design', 'Learn'}",
Firebase Authentication masterclass with Angular,Siddharth Ajmera,Not Started,,Low,"{'Authentication', 'Masterclass', 'Angular', 'Firebase'}",
Scrum Master Certification 2025 + Agile Scrum Certification,Paul Ashun,Not Started,,Low,"{'Certification', '2025', 'Master', 'Agile', 'Scrum'}",
Compass - powerful SASS library that makes your life easier,Arkadiusz Włodarczyk,Not Started,,Low,"{'Makes', 'Powerful', 'Sass', 'Life', 'Library', 'Easier', 'Compass'}",
Master in Hacking with Metasploit,Amit Huddar,Not Started,,Low,"{'Hacking', 'Master', 'Metasploit'}",
How To Create A Website For Free. Free Domain|Free hosting,"Amrinder Grewal, Amandeep Kaur, PhD",Not Started,,Low,"{'Website', 'Domain', 'Free', 'Create', 'Hosting'}",
Python for beginners,Bharath Thippireddy,Not Started,,High,"{'Python', 'Beginners'}",
Cryptography from Scratch| Master Cryptography in Java,Luke's Programming School,Not Started,,Low,"{'Cryptography', 'Master', 'Scratch', 'Java'}",
How Hackers Create Undetectable Malware and Viruses,Nikhil Parekh,Not Started,,Low,"{'Viruses', 'Hackers', 'Malware', 'Undetectable', 'Create'}",
"UX & Web Design Master Course: Strategy, Design, Development",Joe Natoli,Not Started,,Low,"{'Master', 'Course', 'Development', 'Strategy', 'Design'}",
The Advanced Web Developer Bootcamp,"Colt Steele, Elie Schoppik, Tim Garcia, Matt Lane",Not Started,,Low,"{'Advanced', 'Developer', 'Bootcamp'}",
User Experience Design Essentials - Adobe XD UI UX Design,Daniel Walter Scott,Not Started,,Low,"{'Essentials', 'Adobe', 'User', 'Design', 'Experience'}",
"Python Programming Bible | Networking, GUI, Email, XML, CGI",Frahaan Hussain,Not Started,,High,"{'Python', 'Bible', 'Programming'}",
Hello Kotlin - The Complete Guide to the Kotlin Language,Mohammad Azam,Not Started,,Low,"{'Complete', 'Language', 'Hello', 'Guide', 'Kotlin'}",
The Complete Web Development Bootcamp,Ads Managed,Not Started,,Medium,"{'Web Development', 'Bootcamp', 'Development', 'Complete'}",
Digital Painting Series: Ominous Alien and Tribal Dino,Austin Batchelor,Not Started,,Low,"{'Ominous', 'Digital', 'Series', 'Dino', 'Painting', 'Tribal', 'Alien'}",
HTML&CSS Tutorial and Projects Course  (Flexbox&Grid),John Smilga,Not Started,,Low,"{'Flexbox', 'Projects', 'Course', 'Html', 'Grid', 'Tutorial'}",
CSS FLexbox Tutorial  with  Website Projects,John Smilga,Not Started,,Low,"{'Projects', 'Flexbox', 'Website', 'Tutorial'}",
Become A Full Stack Web Developer - Beginner To Advanced,"Joe Parys, Shahzaib Kamal, Muhammad Javed, Joe Parys Support, TheCoding .dev",Not Started,,Low,"{'Advanced', 'Beginner', 'Stack', 'Full', 'Become', 'Developer'}",
JavaScript Weather Application,Stan Georgian,Not Started,,Low,"{'Weather', 'Application', 'JavaScript'}",
The Digital Painting MEGA Course: Beginner to Advanced,Austin Batchelor,Not Started,,Low,"{'Advanced', 'Beginner', 'Mega', 'Digital', 'Course', 'Painting'}",
Learn Responsive Web Design 101 from scratch,Kalob Taulien,Not Started,,Low,"{'Design', 'Learn', 'Scratch', 'Responsive'}",
Make a Responsive Portfolio Website: JavaScript and HTML,Reece Kenney,Not Started,,Low,"{'JavaScript', 'Portfolio', 'Website', 'Html', 'Responsive', 'Make'}",
The Complete JavaScript Course For Web Development Beginners,"Joe Parys, Joe Parys Support",Not Started,,Medium,"{'JavaScript', 'Complete', 'Web Development', 'Course', 'Beginners', 'Development'}",
Introduction to Linux Shell Scripting,Suresh Kumar Srivastava,Not Started,,Low,"{'Shell', 'Introduction', 'Scripting', 'Linux'}",
EXCEL at Work - Complete MS Excel Mastery Beginner to Pro,Steve McDonald,Not Started,,Low,"{'Beginner', 'Excel', 'Complete', 'Mastery', 'Work'}",
RPG Core Combat Creator: Learn Intermediate Unity C# Coding,"Ben Tristem, Rick Davidson, GameDev.tv Team",Not Started,,Low,"{'Creator', 'Coding', 'Core', 'Intermediate', 'Unity', 'Combat', 'Learn'}",
Microsoft Word 2016 Learn to Become a Master,Mehmood Shaikh,Not Started,,Low,"{'Microsoft', 'Master', '2016', 'Become', 'Learn', 'Word'}",
Intro to HTML5 Game Development,"Zenva Academy, Pablo Farias",Not Started,,Low,"{'Intro', 'Html5', 'Development', 'Game'}",
Brand Design From Concept to Finish,B I,Not Started,,Low,"{'Design', 'Concept', 'Brand', 'Finish'}",
Master the MEAN Stack - Learn By Example,Patrick Schroeder,Not Started,,Low,"{'Stack', 'Master', 'Example', 'Mean', 'Learn'}",
Excel Formulas & Functions - Find Answers in Your Excel Data,Steve McDonald,Not Started,,Low,"{'Excel', 'Formulas', 'Data', 'Answers', 'Find', 'Functions'}",
Content is King: Writing Killer Content for Web & Marketing,Steve McDonald,Not Started,,Low,"{'Killer', 'Marketing', 'King', 'Content', 'Writing'}",
Android Tutorial for Beginners . Make App That Sells,Yogesh Patel,Not Started,,Low,"{'Sells', 'Beginners', 'Tutorial', 'Make', 'Android'}",
7 Photoshop Web Design Projects | Master Web Design by Doing,Chris Parker,Not Started,,Low,"{'Design', 'Master', 'Projects', 'Photoshop'}",
Affinity Designer- Design artistic text and Create Fonts,Jeremy Hazel,Not Started,,Low,"{'Text', 'Affinity', 'Design', 'Designer', 'Artistic', 'Create', 'Fonts'}",
Angular - Soft & Sweet,Reza Ahmadi,Not Started,,Low,"{'Soft', 'Angular', 'Sweet'}",
Web Design in Affinity Designer Masterclass,Dawid Tuminski,Not Started,,Low,"{'Designer', 'Affinity', 'Masterclass', 'Design'}",
GIMP Digital Drawing: Free GIMP with a Budget Tablet,"Brian Jackson, Writing, Self-publishing and Marketing an Amazon Kindle eBook and Book with Word, PowerPoint, ChatGPT and KDP",Not Started,,Low,"{'Gimp', 'Digital', 'Drawing', 'Tablet', 'Free', 'Budget'}",
"Body Language & Lie Detection: Read Body Language, Spot Lies","Expert Academy, Lahcen Bouya",Not Started,,Low,"{'Lies', 'Language', 'Read', 'Body', 'Detection', 'Spot'}",
Brand Strategy & Design: Create a Distinctive Brand Identity,Daniel Mandachi - Business Trainer,Not Started,,Low,"{'Distinctive', 'Brand', 'Strategy', 'Design', 'Create', 'Identity'}",
Unity 2D Platformer Game Development Course,"Dragan Neskovic, Jasmin Skamo",Not Started,,Low,"{'Game', 'Course', 'Platformer', 'Unity', 'Development'}",
The Complete Angular 5 Essentials Course For Beginners,"Joe Parys, Leon Watson II, Joe Parys Support",Not Started,,Low,"{'Essentials', 'Complete', 'Course', 'Beginners', 'Angular'}",
Ultimate Guide to Graphic Design in Canva,Anthony Isaac,Not Started,,Low,"{'Graphic', 'Ultimate', 'Design', 'Canva', 'Guide'}",
Web Development - CSS3 - Scratch till Advanced Project Based,Tharun Shiv,Not Started,,Medium,"{'Advanced', 'Scratch', 'Css3', 'Based', 'Project', 'Web Development', 'Development'}",
Java Swing (GUI) Programming:Learn by Practicing from Zero,Sarkhan Rasullu,Not Started,,Low,"{'Programming', 'Zero', 'Java', 'Learn'}",
"Steemit - Get Paid To Post, Upvote and Share Content Online",Robin Haney,Not Started,,Low,"{'Post', 'Upvote', 'Share', 'Online', 'Content', 'Paid', 'Steemit'}",
Angular Step by Step for beginners,Shivprasad Koirala,Not Started,,Low,"{'Angular', 'Beginners', 'Step'}",
GRUNT js: Automate web development tasks and save your time,Arkadiusz Włodarczyk,Not Started,,Low,"{'Time', 'Web Development', 'Automate', 'Development'}",
Android App Development using Kotlin,Smartherd The Good Old Youtube Channel,Not Started,,Low,"{'Using', 'Android', 'Development', 'Kotlin'}",
The Complete Express.js Developer Course & Create Two Sites,"Bilal Zeyada, bilal ziada",Not Started,,Low,"{'Express', 'Sites', 'Complete', 'Course', 'Create', 'Developer'}",
Learn to Code with Ruby,Boris Paskhaver,Not Started,,Low,"{'Code', 'Ruby', 'Learn'}",
Ethereum : Master Web3js Library,Tan Pham,Not Started,,Low,"{'Library', 'Master', 'Ethereum', 'Web3js'}",
Ethereum Development: Your First Smart Contract,"Thomas Wiesner, Ravinder Deol, Toms Blockchain Kurse, Danix Okamoto",Not Started,,Low,"{'First', 'Smart', 'Ethereum', 'Development', 'Contract'}",
Discover Python Programming - From Zero to Hello World,"Zenva Academy, Pablo Farias",Not Started,,High,"{'Python', 'World', 'Discover', 'Zero', 'Hello', 'Programming'}",
Java Programming Language: Excellent for Beginners,Alin Ciovica,Not Started,,Low,"{'Programming', 'Beginners', 'Java', 'Language'}",
The Complete Web Development Course - Build 15 Projects,Development Island (UK),Not Started,,Medium,"{'Complete', 'Projects', 'Web Development', 'Course', 'Development', 'Build'}",
Learn Bootstrap: Design a Custom Landing Page in Bootstrap 4,Adam Eubanks,Not Started,,Low,"{'Bootstrap', 'Custom', 'Page', 'Landing', 'Design', 'Learn'}",
Django for Beginners: The Ultimate Course for Web Developers,"AkaSkills! 35,000+ Students",Not Started,,Low,"{'Developers', 'Django', 'Course', 'Beginners', 'Ultimate'}",
The Complete PHP Bootcamp Course With Video Sharing Project,"Joe Parys, Shahzaib Kamal, Joe Parys Support",Not Started,,Low,"{'Video', 'Project', 'Bootcamp', 'Complete', 'Course', 'Sharing'}",
HTML5 for web design build your first project with html5,Abdull Waheed,Not Started,,Low,"{'First', 'Html5', 'Project', 'Design', 'Build'}",
Building A Great Freelance Profile : The Ultimate Guide,Sayed Md Sakib Hossain,Not Started,,Low,"{'Profile', 'Ultimate', 'Great', 'Freelance', 'Building', 'Guide'}",
Master Photorealistic 3D Rendering with 3ds Max + V-Ray,"Jake Denham BA, MA, Official V-Ray Mentor, Luxury Visuals",Not Started,,Low,"{'Master', 'Rendering', 'Photorealistic'}",
First Steps in Creating Your Website Copy,iMarketer School LONDON,Not Started,,Low,"{'First', 'Copy', 'Steps', 'Website', 'Creating'}",
Blender Character Rigging For Beginners HD,Riven Phoenix,Not Started,,Low,"{'Rigging', 'Blender', 'Beginners', 'Character'}",
Project Management+Deliver on Time + Scrum Project Delivery,Paul Ashun,Not Started,,Low,"{'Project', 'Deliver', 'Management', 'Time', 'Delivery', 'Scrum'}",
2018 Angular Interview Questions,Ricardo Morales,Not Started,,Low,"{'Interview', '2018', 'Angular', 'Questions'}",
Character Rigging For ABSOLUTE Beginners in 2024,Anass Cherkaoui,Not Started,,Low,"{'Absolute', '2024', 'Beginners', 'Rigging', 'Character'}",
CSS Animations: Learn CSS Animations from Scratch,Luke's Programming School,Not Started,,Low,"{'Learn', 'Scratch', 'Animations'}",
Learn Web Design In Photoshop By Practical Projects,Soheil Faal,Not Started,,Low,"{'Photoshop', 'Projects', 'Practical', 'Design', 'Learn'}",
Drupal For Absolute Beginners (2025),Shubham Saurav,Not Started,,Low,"{'Drupal', 'Beginners', 'Absolute', '2025'}",
Learn HTML5 and CSS3 By Coding Your First Website,Zaowl Dev,Not Started,,Low,"{'First', 'Html5', 'Css3', 'Coding', 'Website', 'Learn'}",
Build Your Web Developer Portfolio and Brand To Get Hired,Joe Santos Garcia,Not Started,,Low,"{'Hired', 'Portfolio', 'Brand', 'Developer', 'Build'}",
Learn React by building and deploying production ready app,Dimi Mikadze,Not Started,,Low,"{'React', 'Ready', 'Learn', 'Building', 'Production'}",
Python Programming Course for Beginners,Jen Johnson,Not Started,,High,"{'Python', 'Course', 'Beginners', 'Programming'}",
WIX Tutorial For Beginners - Make A Wix Website Today!,Greg Gottfried,Not Started,,Low,"{'Website', 'Beginners', 'Tutorial', 'Make', 'Today'}",
JavaScript Bootcamp - Build Real World Applications,"Code And Create, George Lomidze, Lasha Nozadze",Not Started,,Low,"{'Real', 'JavaScript', 'Bootcamp', 'World', 'Applications', 'Build'}",
ExpertJS: Learn To Develop JavaScript Apps Like An Expert,JavaScript Instructor,Not Started,,Low,"{'Like', 'Expert', 'JavaScript', 'Develop', 'Learn', 'Apps'}",
Complete Python Tutorial for Beginners,Yogesh Patel,Not Started,,High,"{'Python', 'Beginners', 'Tutorial', 'Complete'}",
First Steps in Starting a Blog,iMarketer School LONDON,Not Started,,Low,"{'First', 'Blog', 'Steps', 'Starting'}",
How to Build a Mobile app Prototype Fast and Easy,Erick Bulatowicz,Not Started,,Low,"{'Fast', 'Easy', 'Mobile', 'Prototype', 'Build'}",
Modern web development course: beginner to advanced,Evans Boateng Owusu,Not Started,,Low,"{'Advanced', 'Beginner', 'Web Development', 'Course', 'Modern', 'Development'}",
"HTML5, CSS3 & JavaScript Workshop: Build 7 Creative Projects",Filip Kordanovski,Not Started,,Low,"{'Css3', 'Html5', 'JavaScript', 'Projects', 'Workshop', 'Creative', 'Build'}",
CSS Animations: Create Amazing Effects on Your Website,Alexander Oni,Not Started,,Low,"{'Website', 'Animations', 'Effects', 'Create', 'Amazing'}",
Shopify Dropshipping: Build A Profitable eCom Business Today,Deimantas Brandišauskas,Not Started,,Low,"{'Dropshipping', 'Business', 'Profitable', 'Ecom', 'Shopify', 'Today', 'Build'}",
Learn Django 2 by crafting a real world application,Erick M'bwana,Not Started,,Low,"{'Real', 'Django', 'World', 'Learn', 'Application'}",
Adobe Illustrator CC Mastery: Zero to Hero in Illustrator,"Chad Neuman, Ph.D.",Not Started,,Low,"{'Adobe', 'Zero', 'Mastery', 'Hero', 'Illustrator'}",
Dart 2 Complete Bootcamp - Go Hero from Zero in Dart Flutter,Ajinkya Temak,Not Started,,Low,"{'Dart', 'Bootcamp', 'Complete', 'Zero', 'Hero', 'Flutter'}",
The Complete Freelancing Course-Upwork Fiverr Home Business,"TJ Walker, Media Training Worldwide Digital",Not Started,,Low,"{'Fiverr', 'Business', 'Complete', 'Course', 'Home', 'Freelancing', 'Upwork'}",
Web Developer Course: learn to build websites & JavaScript,Sofia Kostiunina,Not Started,,Low,"{'JavaScript', 'Course', 'Learn', 'Websites', 'Developer', 'Build'}",
Learn Javascript Step By Step By Building Projects,Rajesh Pillai,Not Started,,Low,"{'JavaScript', 'Projects', 'Step', 'Learn', 'Building'}",
Programming Fundamentals: The C and C++ Course for Beginners,Tanzeel Ur Rehman,Not Started,,Low,"{'Programming', 'Fundamentals', 'Course', 'Beginners'}",
Burp Suite Bug Bounty Web Hacking from Scratch,Hackers Cloud Security,Not Started,,Low,"{'Burp', 'Scratch', 'Bounty', 'Hacking', 'Suite'}",
Learn Linux - Course For Beginners,ITNuggets Institute,Not Started,,Low,"{'Learn', 'Course', 'Beginners', 'Linux'}",
Bootstrap 4 : Building Projects,Happy Code,Not Started,,Low,"{'Projects', 'Bootstrap', 'Building'}",
Learn to Design a Letterhead - A Beginners Course,Tara Roskell,Not Started,,Low,"{'Course', 'Beginners', 'Letterhead', 'Design', 'Learn'}",
Freelancing 2020: Freelancing Guide For Absolute Beginners,Shubham Sarda,Not Started,,Low,"{'Absolute', 'Beginners', 'Freelancing', '2020', 'Guide'}",
Wordpress for Beginners up to Advanced!,Jarrod Field,Not Started,,Low,"{'Wordpress', 'Advanced', 'Beginners'}",
EMMET Faster HTML & CSS workflow - Best Tool For Developers,"Edwin Diaz | 900,000+ Students, Coding Faculty Solutions",Not Started,,Low,"{'Developers', 'Best', 'Emmet', 'Faster', 'Html', 'Workflow', 'Tool'}",
VB.NET Masterclass: Learn Visual Basic and VBScript,Frahaan Hussain,Not Started,,Low,"{'Vbscript', 'Basic', 'Masterclass', 'Learn', 'Visual'}",
How to Build a Successful & Money-Making Blog,"Nicholas Carroll, MBA, MS",Not Started,,Low,"{'Money', 'Successful', 'Making', 'Blog', 'Build'}",
The Complete Linux Guide - From Beginner to Advanced (2025),"Mo Khalil, Muhammed Torkey",Not Started,,Low,"{'Advanced', 'Beginner', '2025', 'Complete', 'Linux', 'Guide'}",
How to Make a Freaking Android App,Nick Walter,Not Started,,Low,"{'Make', 'Freaking', 'Android'}",
Introduction to build Web Apps with JavaScript,Ahmed El Mohandes,Not Started,,Low,"{'Introduction', 'Apps', 'JavaScript', 'Build'}",
Learn PSD to Responsive Parallax HTML 5 / CSS 3 Web Design,Adil Ahmed,Not Started,,Low,"{'Parallax', 'Html', 'Responsive', 'Design', 'Learn'}",
HTML for beginners,Ahmed Ahmed Hassan,Not Started,,Low,"{'Html', 'Beginners'}",
"MERN Stack Front To Back: Full Stack React, Redux & Node.js",Brad Traversy,Not Started,,Low,"{'Back', 'Front', 'Stack', 'React', 'Full', 'Mern', 'Node', 'Node.js'}",
Bootstrap 4 Quick Start: Code Modern Responsive Websites,Brad Hussey,Not Started,,Low,"{'Code', 'Bootstrap', 'Modern', 'Quick', 'Responsive', 'Start', 'Websites'}",
"Complete React, Next.js & TypeScript Projects Course 2025",John Smilga,Not Started,,Low,"{'Next', '2025', 'React', 'Projects', 'Complete', 'Typescript', 'Course'}",
Angular for Beginners Course (Angular 19),Angular University,Not Started,,Low,"{'Course', 'Angular', 'Beginners'}",
"The Complete Android Oreo(8.1) , N ,M and Java Development",Kavita Mandal,Not Started,,Low,"{'Android', 'Java', 'Development', 'Complete'}",
The Best Passive Income Business To Start,Devon Campbell,Not Started,,Low,"{'Best', 'Business', 'Passive', 'Income', 'Start'}",
Unlimited CSS tips & tricks [WEEKLY UPDATED],code on,Not Started,,Low,"{'Unlimited', 'Tricks', 'Weekly', 'Updated', 'Tips'}",
8 Beautiful Ruby on Rails Apps in 30 Days & TDD - Immersive ,Yonathan Ayenew,Not Started,,Low,"{'Ruby', 'Days', 'Beautiful', 'Apps'}",
Microsoft Excel Weekender Crash Course,Start-Tech Academy,Not Started,,Low,"{'Microsoft', 'Excel', 'Course', 'Weekender', 'Crash'}",
Draw a Kitten using Pastel Pencils,Colin Bradley School of Art,Not Started,,Low,"{'Kitten', 'Pencils', 'Pastel', 'Using', 'Draw'}",
HTML For the Modern Developer,Jesse Caine,Not Started,,Low,"{'Html', 'Modern', 'Developer'}",
Total Web Development Course,Just Jack,Not Started,,Medium,"{'Web Development', 'Course', 'Development'}",
Android O & Java - The Complete Android Development Bootcamp,Philipp Muellauer,Not Started,,Low,"{'Bootcamp', 'Complete', 'Java', 'Development', 'Android'}",
Getting started with Vuejs for development,Femi Ibiwoye,Not Started,,Low,"{'Getting', 'Started', 'Vuejs', 'Development'}",
Learn JavaFX tutorials from Beginners Level,Nilesh kadam,Not Started,,Low,"{'Tutorials', 'Level', 'Beginners', 'Learn', 'Javafx'}",
Oracle Certification: Mastering Java for Beginners & Experts,Frahaan Hussain,Not Started,,Low,"{'Mastering', 'Certification', 'Beginners', 'Java'}",
The Complete Full-Stack Web Development Bootcamp,"Dr. Angela Yu, Developer and Lead Instructor",Not Started,,Medium,"{'Bootcamp', 'Full', 'Complete', 'Stack', 'Web Development', 'Development'}",
310-035 Sun Certified Programmer For the Java 2 Platform,Softense Solutions,Not Started,,Low,"{'Platform', 'Java', 'Certified'}",
ES6 In A Nutshell For JavaScript Developers,Christopher Hawkes,Not Started,,Low,"{'Developers', 'JavaScript'}",
"Adobe CC Masterclass: Photoshop, Illustrator, XD & InDesign","Lindsay Marsh, Jeremy Deighan - 300,000+ Students",Not Started,,Low,"{'Indesign', 'Photoshop', 'Adobe', 'Masterclass', 'Illustrator'}",
Learn Python Programming: Step-by-Step Tutorial,Pramod Pal,Not Started,,High,"{'Python', 'Programming', 'Tutorial', 'Step', 'Learn'}",
Become a Junior Java Software Developer,Tim Short,Not Started,,Low,"{'Junior', 'Software', 'Become', 'Java', 'Developer'}",
The Complete Android Kotlin Developer Course,Dr. Hussein Alrubaye,Not Started,,Low,"{'Complete', 'Course', 'Android', 'Developer', 'Kotlin'}",
Create & Design a Modern 3D House in Blender,Stephen Pearson,Not Started,,Low,"{'Blender', 'Modern', 'Design', 'House', 'Create'}",
Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,"Ben Tristem, GameDev.tv Team",Not Started,,Low,"{'Engine', 'Video', 'Unreal', 'Learn', 'Make', 'Games', 'Developer'}",
Unreal Engine 4: How to Develop Your First Two Games,"Christopher Murphy, Epic Games",Not Started,,Low,"{'First', 'Engine', 'Develop', 'Unreal', 'Games'}",
Create an Apartment Scene in Blender and Unreal Engine,Josh Gambrell,Not Started,,Low,"{'Engine', 'Blender', 'Apartment', 'Scene', 'Unreal', 'Create'}",
Learn Python - Python Programming For Beginners From Scratch,Ian Annase,Not Started,,High,"{'Scratch', 'Python', 'Beginners', 'Programming', 'Learn'}",
Build modern responsive websites with HTML5 and CSS3,Bihan Mahadewa,Not Started,,Low,"{'Html5', 'Css3', 'Modern', 'Responsive', 'Websites', 'Build'}",
Learn Bootstrap 4: Create Modern Responsive Websites,Oliver G,Not Started,,Low,"{'Bootstrap', 'Modern', 'Responsive', 'Learn', 'Create', 'Websites'}",
Learn ASP NET MVC 5 step by step,Maruti Makwana,Not Started,,Low,"{'Learn', 'Step'}",
Angular 2 - Superheroic Framework,Maruti Makwana,Not Started,,Low,"{'Framework', 'Angular', 'Superheroic'}",
The Complete Android Masterclass: Learn Android From Scratch,Ashutosh Pawar,Not Started,,Low,"{'Scratch', 'Complete', 'Masterclass', 'Learn', 'Android'}",
Learn JavaScript Fundamentals,Awais Jamil,Not Started,,Low,"{'Learn', 'Fundamentals', 'JavaScript'}",
Vue.js Fast Crash Course,"Edwin Diaz | 900,000+ Students, Coding Faculty Solutions",Not Started,,Low,"{'Crash', 'Course', 'Fast'}",
