Title,Instructor,Status,Progress,Priority,Tags,
Web Design for Web Developers: Build Beautiful Websites!,Jonas Schmedtmann,Not Started,,Low,"{'Beautiful', 'Developers', 'Design', 'Websites', 'Build'}",
Angular Crash Course for Busy Developers,Mosh Hamedani,Not Started,,Low,"{'Developers', 'Course', 'Crash', 'Busy', 'Angular'}",
Total Frontend Website Creation HTML CSS JavaScript jQuery,Laurence Svekis,Not Started,,Low,"{'JavaScript', 'Website', 'Creation', 'Html', 'Jquery'}",
Python and Django Full Stack Web Developer Bootcamp,"Jose Portilla, Pierian Training",Not Started,,High,"{'Django', 'Bootcamp', 'Full', 'Python', 'Stack', 'Developer'}",
The Complete Python Bootcamp From Zero to Hero in Python,"Jose Portilla, Pierian Training",Not Started,,High,"{'Bootcamp', 'Complete', 'Python', 'Zero', 'Hero'}",
PHP for Beginners - Become a PHP Master - CMS Project,"Edwin Diaz | 900,000+ Students, Coding Faculty Solutions",Not Started,,Low,"{'Become', 'Project', 'Master', 'Beginners'}",
C# Basics for Beginners: Learn C# Fundamentals by Coding,Mosh Hamedani,Not Started,,Low,"{'Fundamentals', 'Coding', 'Basics', 'Beginners', 'Learn'}",
Learn Ruby on Rails from Scratch,"Eduonix Learning Solutions, Eduonix-Tech .",Not Started,,Low,"{'Ruby', 'Scratch', 'Learn'}",
JQuery Basics - Learn JQuery From Scratch,Robin Haney,Not Started,,Low,"{'Learn', 'Scratch', 'Jquery', 'Basics'}",
Beginning Laravel - From Novice to Professional,"Eding Muhamad Saprudin, TutsPrime Online Education",Not Started,,Low,"{'Professional', 'Novice', 'Beginning', 'Laravel'}",
Javascript Specialist,"SkillSprints Inc., Mark Lassoff",Not Started,,Low,"{'JavaScript', 'Specialist'}",
C# From Beginner to Advanced,"Ermin Kreponic, Aldin Omerdic",Not Started,,Low,"{'Advanced', 'Beginner'}",
Bootstrap Responsive Design,SkillSprints Inc.,Not Started,,Low,"{'Design', 'Bootstrap', 'Responsive'}",
Work From Home: The Amazon FBA MasterPlan,"Tim Godfrey, Digital Success Network",Not Started,,Low,"{'Work', 'Masterplan', 'Home', 'Amazon'}",
Photorealistic Digital Painting From Beginner To Advanced.,Austin Batchelor,Not Started,,Low,"{'Advanced', 'Beginner', 'Digital', 'Photorealistic', 'Painting'}",
Learn Python Programming Masterclass,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",Not Started,,High,"{'Learn', 'Python', 'Masterclass', 'Programming'}",
The complete JavaScript developer: MEAN stack zero-to-hero,Full Stack Training Ltd,Not Started,,Low,"{'JavaScript', 'Complete', 'Stack', 'Mean', 'Zero', 'Hero', 'Developer'}",
The Complete Node.js Developer Course (3rd Edition),"Andrew Mead, Rob Percival",Not Started,,Low,"{'Complete', 'Course', 'Node', 'Node.js', 'Edition', 'Developer'}",
React From The Ground Up,Tim Knight,Not Started,,Low,{'React'},
React JS Web Development - The Essentials Bootcamp,David Joseph Katz,Not Started,,Medium,"{'Essentials', 'Bootcamp', 'React', 'Web Development', 'Development'}",
"Learn SVG Animation - With HTML, CSS & Javascript",code withsam,Not Started,,Low,"{'Learn', 'Html', 'Animation', 'JavaScript'}",
HTML and CSS for Beginners - Build a Website & Launch ONLINE,"Edwin Diaz | 900,000+ Students, Coding Faculty Solutions",Not Started,,Low,"{'Website', 'Beginners', 'Online', 'Html', 'Launch', 'Build'}",
HTML5 Specialist: Comprehensive HTML5 Training,SkillSprints Inc.,Not Started,,Low,"{'Comprehensive', 'Html5', 'Training', 'Specialist'}",
CSS Specialist: Comprehensive CSS Training,SkillSprints Inc.,Not Started,,Low,"{'Comprehensive', 'Training', 'Specialist'}",
PHP Specialist (2017 Edition),"SkillSprints Inc., Mark Lassoff",Not Started,,Low,"{'2017', 'Edition', 'Specialist'}",
The Complete Web Developer Masterclass: Beginner To Advanced,"Joe Parys, Shahzaib Kamal, Joe Parys Support",Not Started,,Low,"{'Advanced', 'Beginner', 'Complete', 'Masterclass', 'Developer'}",
The Complete iOS 11 Developer Course - Beginner To Advanced,"Joe Parys, Atil Samancioglu, Joe Parys Support",Not Started,,Low,"{'Advanced', 'Beginner', 'Complete', 'Course', 'Developer'}",
Become an Android Developer from Scratch,"Adam Lupu, Adam Schwem",Not Started,,Low,"{'Become', 'Scratch', 'Android', 'Developer'}",
Learn Database Design with MySQL,"Eduonix Learning Solutions, Eduonix-Tech .",Not Started,,Low,"{'Design', 'Learn', 'Database', 'Mysql'}",
Learn Object Oriented PHP By Building a Complete Website,"Eduonix Learning Solutions, Eduonix-Tech .",Not Started,,Low,"{'Object', 'Complete', 'Website', 'Oriented', 'Learn', 'Building'}",
Building a Chat System in AJAX & PHP,ABDUL VALI KHAN,Not Started,,Low,"{'Chat', 'System', 'Building', 'Ajax'}",
Learn to Make an Animated Image Gallery using HTML5,"Eduonix Learning Solutions, Eduonix-Tech .",Not Started,,Low,"{'Html5', 'Gallery', 'Using', 'Image', 'Learn', 'Make', 'Animated'}",
Build a Responsive Website with a Modern Flat Design,Stone River eLearning,Not Started,,Low,"{'Modern', 'Website', 'Responsive', 'Design', 'Flat', 'Build'}",
How to Make an Online Portfolio Website from Scratch ,Hoku Ho,Not Started,,Low,"{'Scratch', 'Portfolio', 'Website', 'Online', 'Make'}",
How To Create a Super Website with WordPress (Step by Step),WebsiteWizard.tv .,Not Started,,Low,"{'Super', 'Wordpress', 'Website', 'Step', 'Create'}",
How To Make A Profitable Wordpress Website Step By Step 2016,James Stafford,Not Started,,Low,"{'Wordpress', '2016', 'Website', 'Profitable', 'Step', 'Make'}",
How To Make a Beautiful WordPress Website Without Coding!,WebsiteWizard.tv .,Not Started,,Low,"{'Beautiful', 'Coding', 'Wordpress', 'Without', 'Website', 'Make'}",
The Full JavaScript & ES6 Tutorial - (including ES7 & React),David Joseph Katz,Not Started,,Low,"{'React', 'Full', 'Tutorial', 'JavaScript'}",
Learn to Program in Javascript: Beginner to Pro,Raghavendra Dixit,Not Started,,Low,"{'Program', 'Beginner', 'JavaScript', 'Learn'}",
Java By Example,Taksila LLC,Not Started,,Low,"{'Example', 'Java'}",
Android Development from Scratch to Create Cool Apps!,Sisoft Learning,Not Started,,Low,"{'Scratch', 'Cool', 'Development', 'Create', 'Android', 'Apps'}",
Practical Understanding of PHP and MySQL,Paul Amissah,Not Started,,Low,"{'Understanding', 'Mysql', 'Practical'}",
Build Your First Glass Web App Theme With HTML5 And CSS3,Hini Majesty,Not Started,,Low,"{'First', 'Html5', 'Css3', 'Theme', 'Glass', 'Build'}",
Quickstart AngularJS 1.0 [First Version Of Angular],Sandip Gautam,Not Started,,Low,"{'Version', 'First', 'Quickstart', 'Angularjs', 'Angular'}",
JavaScript Game Development: Create Your Own Breakout Game,Komar Academy,Not Started,,Low,"{'Create', 'Development', 'JavaScript', 'Game'}",
